kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
fir;omp;3;1024;16;0.024;0.026;0.02455;3773798;2153833;636520;17754;285403;26321
fir;hybrid;3;1024;16;0.025;0.027;0.0258;3782471;2167786;637954;17757;286924;26326
fir;omp;4;1024;16;0.020;0.097;0.02275;4490991;2962875;787059;19476;417594;28837
fir;hybrid;4;1024;16;0.021;0.022;0.0217;4472608;2950954;782730;19520;415020;28757
fir;seq;1;4096;16;0.222;0.249;0.224625;5690564;4635177;1105962;18461;686357;27104
fir;neon;1;4096;16;0.244;0.275;0.24775;5797310;4791700;1125960;18441;708057;27109
fir;omp;1;4096;16;0.232;0.384;0.239175;3005984;1420890;534221;13796;157102;21664
fir;hybrid;1;4096;16;0.249;0.360;0.255025;3045294;1443953;534692;13896;157225;21524
fir;omp;2;4096;16;0.117;0.225;0.123475;3739055;2024823;649793;16240;254234;24006
fir;hybrid;2;4096;16;0.126;0.188;0.1323;3754271;2017819;647073;16295;249399;24214
fir;omp;3;4096;16;0.083;0.099;0.087575;4396533;2727689;785154;18355;368027;26609
fir;hybrid;3;4096;16;0.089;0.111;0.09295;4452538;2781673;791544;18290;373562;26649
fir;omp;4;4096;16;0.065;0.078;0.066125;5162302;3610211;947573;20038;512410;29008
fir;hybrid;4;4096;16;0.068;0.098;0.072;5159721;3567228;937226;20208;501832;29164
fir;seq;1;16384;16;0.893;1.055;0.908375;9489813;8775456;2018700;20643;1321758;28506
fir;neon;1;16384;16;0.979;1.006;0.983675;9589915;8910077;2018908;20538;1325554;28348
fir;omp;1;16384;16;0.902;0.991;0.916575;4691917;2470776;927210;15489;278013;22206
fir;hybrid;1;16384;16;0.975;1.058;0.984025;4776331;2547434;925353;15479;277282;22181
fir;omp;2;16384;16;0.450;0.552;0.462725;5705243;3524427;1118741;18062;450223;25008
fir;hybrid;2;16384;16;0.491;0.700;0.506025;5839578;3626145;1122742;18075;453227;24954
fir;omp;3;16384;16;0.304;0.423;0.321925;6710115;4694227;1331691;20102;641622;27561
fir;hybrid;3;16384;16;0.329;0.402;0.34195;6791147;4823552;1337947;19769;650180;27352
fir;omp;4;16384;16;0.234;0.465;0.253275;7885950;6150539;1591975;22392;881350;30433
fir;hybrid;4;16384;16;0.250;0.377;0.261475;7952381;6191645;1584820;22158;874628;30340
fir;seq;1;65536;16;3.581;3.842;3.6267;16221551;13002942;3600820;26135;1809944;31689
fir;neon;1;65536;16;3.937;4.087;3.9645;16650343;13438305;3594119;26257;1806642;31512
fir;omp;1;65536;16;3.588;3.806;3.63852;11390035;6689547;2507525;20864;764264;25384
fir;hybrid;1;65536;16;3.885;4.046;3.93107;11783387;7015989;2507082;20859;764158;25370
fir;omp;2;65536;16;1.818;1.917;1.84932;13612501;9396426;2976053;24415;1211048;28375
fir;hybrid;2;65536;16;1.964;2.154;2.01075;14065923;9798554;2991132;24393;1222900;28463
fir;omp;3;65536;16;1.222;1.370;1.28167;15973818;12457776;3513653;27285;1715711;32286
fir;hybrid;3;65536;16;1.324;1.342;1.33265;16307572;12759797;3507950;26564;1711390;31922
fir;omp;4;65536;16;0.931;1.066;0.949025;17943272;15163934;3974580;28756;2165050;34373
fir;hybrid;4;65536;16;1.002;1.143;1.0289;18460492;15595081;3997340;29226;2181214;34746
fir;seq;1;262144;16;14.504;14.821;14.6241;42908735;29779397;9876923;48159;3746295;38565
fir;neon;1;262144;16;15.902;16.199;16.0115;44842291;31672838;9888921;48283;3755676;38640
fir;omp;1;262144;16;14.552;14.894;14.7132;37951006;23413599;8772710;41752;2691574;32427
fir;hybrid;1;262144;16;15.747;16.255;15.9077;39743878;24797249;8795901;44381;2696002;32522
fir;omp;2;262144;16;7.350;7.555;7.4385;41357874;27469650;9479558;47547;3355407;35977
fir;hybrid;2;262144;16;7.928;8.200;8.0177;42693398;28597841;9444465;47038;3328468;35876
fir;omp;3;262144;16;4.939;5.185;5.01245;44294933;31382433;10152256;50062;4003448;39614
fir;hybrid;3;262144;16;5.320;5.546;5.41973;46030902;32966905;10197628;49365;4049236;39474
fir;omp;4;262144;16;3.749;3.902;3.81208;47444727;35428060;10842339;52451;4675377;42291
