kernel;version;threads;size;tap;time-min;time-max;time-mean;cycles;instructions;cache-references;cache-misses;branch-instructions;branch-misses
triad;omp;4;32768;;0.120;0.171;0.131333;8444503;5482284;1288971;26614;759961;32950
triad;hybrid;4;32768;;0.073;0.097;0.0850667;8252309;5450325;1253038;25716;756536;32925
triad;seq;1;65536;;0.914;1.014;0.944867;13613921;10173138;2148208;32352;1467768;32936
triad;neon;1;65536;;0.463;0.513;0.480367;12851566;9575722;1990406;29049;1373329;32752
triad;omp;2;65536;;0.466;0.591;0.493967;9888810;4964719;1258983;28851;600704;29764
triad;hybrid;2;65536;;0.260;0.296;0.2804;9365763;4673858;1149540;26999;554957;29824
triad;omp;3;65536;;0.316;0.509;0.3496;11117425;6476531;1531565;29839;848249;32549
triad;hybrid;3;65536;;0.196;0.265;0.211467;10643505;6153415;1414109;29328;797111;32743
triad;omp;4;65536;;0.245;0.464;0.268667;12202658;7731576;1754478;31617;1055033;34828
triad;hybrid;4;65536;;0.165;0.361;0.1863;11872521;7619330;1672079;31034;1039356;34672
triad;seq;1;131072;;1.951;2.258;2.03447;19878743;12877111;2782021;45480;1760388;36364
triad;neon;1;131072;;1.053;1.120;1.0761;18667950;12193655;2543914;39116;1657576;36097
triad;omp;2;131072;;0.978;1.109;1.01233;16508558;8287401;1992073;39820;995838;33152
triad;hybrid;2;131072;;0.610;0.842;0.6404;15522908;7713168;1770719;36690;905483;32932
triad;omp;3;131072;;0.662;0.886;0.701433;18300385;10473891;2379964;40648;1354097;36449
triad;hybrid;3;131072;;0.461;0.642;0.484367;17464398;9919444;2162807;39061;1267625;36144
triad;omp;4;131072;;0.523;0.806;0.564167;20013081;12574266;2745518;42125;1702101;38497
triad;hybrid;4;131072;;0.392;0.584;0.422333;19275597;11915164;2508489;41792;1597862;38409
triad;seq;1;262144;;4.054;4.274;4.11793;32098152;18110644;4007902;70852;2318269;42656
triad;neon;1;262144;;2.236;2.570;2.31747;29823857;16840782;3559849;59427;2125795;42588
triad;omp;2;262144;;2.010;2.398;2.08977;29097359;14201944;3335602;62963;1664910;39734
triad;hybrid;2;262144;;1.281;1.468;1.3439;27222861;12986786;2883186;57457;1472272;40054
triad;omp;3;262144;;1.368;1.609;1.4264;31525153;17114593;3849138;62278;2141189;43081
triad;hybrid;3;262144;;0.992;1.346;1.06067;29983983;15842760;3383492;60674;1940490;43190
triad;omp;4;262144;;1.074;1.384;1.14963;34257622;20256783;4393204;64107;2661414;46316
triad;hybrid;4;262144;;0.855;1.127;0.912767;32815215;18730146;3883621;62811;2418931;45828
triad;seq;1;524288;;8.207;8.385;8.29913;57079524;29378886;6613004;126074;3561196;54579
triad;neon;1;524288;;4.580;4.776;4.65737;52046693;26300265;5627087;102760;3087149;54849
triad;omp;2;524288;;4.074;4.291;4.14477;53288724;24938596;5842712;111644;2821945;52396
triad;hybrid;2;524288;;2.574;2.800;2.6488;49309484;22435673;4920536;96976;2427269;52253
triad;omp;3;524288;;2.748;3.136;2.855;56267096;28416010;6450948;107175;3389002;55382
